object_type,object_id,field,matched_token,full_string,proposed_action
html,tierPop,copy,T1,T1  attested primary source ·  T2  interpretive / lineage ·  T2-L  living lineage ·  T3  owned construction ·  G  resonance / gnosis,
html,tierPop,copy,T2,T1  attested primary source ·  T2  interpretive / lineage ·  T2-L  living lineage ·  T3  owned construction ·  G  resonance / gnosis,
html,tierPop,copy,T2-L,T1  attested primary source ·  T2  interpretive / lineage ·  T2-L  living lineage ·  T3  owned construction ·  G  resonance / gnosis,
html,tierPop,copy,T3,T1  attested primary source ·  T2  interpretive / lineage ·  T2-L  living lineage ·  T3  owned construction ·  G  resonance / gnosis,
lens,neteru,desc,§3b,"Sphere rulers — pairs and soles (§3b, canon).",
lens,strengths,desc,pass-33,The circuit working — with the pass-33 re-seatings and Gestation at the Moon.,
lens,circuit,desc,§4d,"§4d — rail, neutral, ground, supply, bus, winding, magnet. The operator closes switches.",
lens,decans,desc,T1,"The 36 decades + the epagomenal Geb-cell as a ring around the tree — the sky surrounds; nothing lands on a sphere or path. Per the Naos of the Decades (T1 monument; von Bomhard’s “war machine / texts of execration,” T2, confirmed via associate T2-L). All 37 cells named (Chronos-canonical, Pass 50; the alternate chat names printed as T2-L variants, not harmonized). Command: Ra → Shu (promoted, theater commander) → Thoth (Lord of the Books) → Sekhmet/Sirius (field-regent, T2-L) → the 36. Sopdet keys the ring at Solar Rising; the year anchors to the heliacal rising of Sirius. Effect-texts = Negative/martial register; effects-content and live-decade computation remain Sphere-of-Iah / Strike Window territory; the competitive-ops overlay is private and print-excluded.",
lens,decans,desc,T2,"The 36 decades + the epagomenal Geb-cell as a ring around the tree — the sky surrounds; nothing lands on a sphere or path. Per the Naos of the Decades (T1 monument; von Bomhard’s “war machine / texts of execration,” T2, confirmed via associate T2-L). All 37 cells named (Chronos-canonical, Pass 50; the alternate chat names printed as T2-L variants, not harmonized). Command: Ra → Shu (promoted, theater commander) → Thoth (Lord of the Books) → Sekhmet/Sirius (field-regent, T2-L) → the 36. Sopdet keys the ring at Solar Rising; the year anchors to the heliacal rising of Sirius. Effect-texts = Negative/martial register; effects-content and live-decade computation remain Sphere-of-Iah / Strike Window territory; the competitive-ops overlay is private and print-excluded.",
lens,decans,desc,T2-L,"The 36 decades + the epagomenal Geb-cell as a ring around the tree — the sky surrounds; nothing lands on a sphere or path. Per the Naos of the Decades (T1 monument; von Bomhard’s “war machine / texts of execration,” T2, confirmed via associate T2-L). All 37 cells named (Chronos-canonical, Pass 50; the alternate chat names printed as T2-L variants, not harmonized). Command: Ra → Shu (promoted, theater commander) → Thoth (Lord of the Books) → Sekhmet/Sirius (field-regent, T2-L) → the 36. Sopdet keys the ring at Solar Rising; the year anchors to the heliacal rising of Sirius. Effect-texts = Negative/martial register; effects-content and live-decade computation remain Sphere-of-Iah / Strike Window territory; the competitive-ops overlay is private and print-excluded.",
